augmented_labels
application accepted
application activated
application approved
application cancelled
application created
application declined
application finalized
application partly submitted
application preaccepted
application registered
application selected
application sent
application sent back
application submitted
coating accepted
application accept
application have
application go for
covering accepted
diligence accepted
application take over
application actuate
application activate
applications programme activated
application aerate
covering activated
application spark
coating activated
diligence approved
applications programme approved
coating approved
application o.k.
covering approved
application okay
lotion approved
practical application approved
covering cancelled
application cancel
applications programme cancelled
lotion cancelled
diligence cancelled
application invalidate
application make
application create
practical application created
diligence created
covering created
lotion created
applications programme created
applications programme declined
application decline
lotion declined
diligence declined
diligence finalized
lotion finalized
application settle
practical application finalized
application nail down
covering finalized
application partly subject
application partially submitted
diligence partly submitted
application part submitted
application partly submit
application program partly submitted
application partly relegate
application program preaccepted
applications programme preaccepted
practical application preaccepted
coating preaccepted
diligence registered
application register
application show
applications programme registered
application file
application program selected
diligence selected
lotion selected
application choose
application select
covering selected
application post
application send
application station
applications programme sent
application program sent
covering sent
practical application sent
application send off
application sent backwards
application sent backward
coating sent back
covering sent back
applications programme sent back
application sent rearward
applications programme submitted
application reconcile
lotion submitted
diligence submitted
application state
application put in
application submit
coating submitted
